=== Resultados de búsqueda de hipertensión ===
Total de líneas analizadas: 95794
Total de líneas con hipertensión: 2050
Total de apariciones totales: 2129

Línea - Apariciones
Línea 109: 1 vez(s)
Línea 110: 1 vez(s)
Línea 174: 1 vez(s)
Línea 176: 1 vez(s)
Línea 179: 1 vez(s)
Línea 188: 1 vez(s)
Línea 193: 1 vez(s)
Línea 199: 1 vez(s)
Línea 234: 1 vez(s)
Línea 241: 1 vez(s)
Línea 249: 1 vez(s)
Línea 340: 1 vez(s)
Línea 345: 1 vez(s)
Línea 359: 1 vez(s)
Línea 406: 1 vez(s)
Línea 413: 1 vez(s)
Línea 425: 1 vez(s)
Línea 501: 1 vez(s)
Línea 504: 1 vez(s)
Línea 513: 1 vez(s)
Línea 897: 1 vez(s)
Línea 902: 1 vez(s)
Línea 907: 1 vez(s)
Línea 908: 1 vez(s)
Línea 911: 1 vez(s)
Línea 912: 1 vez(s)
Línea 918: 1 vez(s)
Línea 1017: 1 vez(s)
Línea 1022: 1 vez(s)
Línea 1026: 1 vez(s)
Línea 1060: 1 vez(s)
Línea 1065: 1 vez(s)
Línea 1078: 1 vez(s)
Línea 1149: 1 vez(s)
Línea 1150: 1 vez(s)
Línea 1153: 2 vez(s)
Línea 1155: 1 vez(s)
Línea 1166: 1 vez(s)
Línea 1179: 1 vez(s)
Línea 1249: 1 vez(s)
Línea 1253: 1 vez(s)
Línea 1259: 1 vez(s)
Línea 1278: 1 vez(s)
Línea 1280: 1 vez(s)
Línea 1282: 1 vez(s)
Línea 1286: 1 vez(s)
Línea 1289: 1 vez(s)
Línea 1325: 1 vez(s)
Línea 1331: 1 vez(s)
Línea 1335: 1 vez(s)
Línea 1383: 1 vez(s)
Línea 1409: 1 vez(s)
Línea 1425: 1 vez(s)
Línea 1427: 1 vez(s)
Línea 1460: 2 vez(s)
Línea 1549: 1 vez(s)
Línea 1550: 1 vez(s)
Línea 1552: 1 vez(s)
Línea 1599: 1 vez(s)
Línea 1608: 1 vez(s)
Línea 1659: 1 vez(s)
Línea 1664: 1 vez(s)
Línea 1669: 1 vez(s)
Línea 1783: 1 vez(s)
Línea 1788: 1 vez(s)
Línea 1793: 1 vez(s)
Línea 1983: 1 vez(s)
Línea 1991: 1 vez(s)
Línea 2137: 1 vez(s)
Línea 2143: 1 vez(s)
Línea 2309: 1 vez(s)
Línea 2313: 1 vez(s)
Línea 2333: 1 vez(s)
Línea 2343: 1 vez(s)
Línea 2353: 1 vez(s)
Línea 2604: 1 vez(s)
Línea 2780: 1 vez(s)
Línea 2805: 1 vez(s)
Línea 2827: 1 vez(s)
Línea 3028: 1 vez(s)
Línea 3033: 1 vez(s)
Línea 3230: 1 vez(s)
Línea 3236: 1 vez(s)
Línea 3243: 1 vez(s)
Línea 3412: 1 vez(s)
Línea 3419: 1 vez(s)
Línea 3467: 1 vez(s)
Línea 3471: 1 vez(s)
Línea 3500: 1 vez(s)
Línea 3505: 1 vez(s)
Línea 3537: 1 vez(s)
Línea 3632: 1 vez(s)
Línea 3636: 1 vez(s)
Línea 3654: 1 vez(s)
Línea 3677: 1 vez(s)
Línea 3680: 1 vez(s)
Línea 3681: 1 vez(s)
Línea 3695: 2 vez(s)
Línea 3824: 1 vez(s)
Línea 3831: 1 vez(s)
Línea 3835: 1 vez(s)
Línea 3859: 1 vez(s)
Línea 3862: 1 vez(s)
Línea 3874: 1 vez(s)
Línea 3878: 2 vez(s)
Línea 4123: 1 vez(s)
Línea 4125: 1 vez(s)
Línea 4130: 1 vez(s)
Línea 4171: 1 vez(s)
Línea 4172: 1 vez(s)
Línea 4178: 1 vez(s)
Línea 4294: 1 vez(s)
Línea 4297: 1 vez(s)
Línea 4303: 1 vez(s)
Línea 4324: 1 vez(s)
Línea 4325: 1 vez(s)
Línea 4346: 1 vez(s)
Línea 4401: 1 vez(s)
Línea 4405: 1 vez(s)
Línea 4427: 1 vez(s)
Línea 4580: 1 vez(s)
Línea 4584: 1 vez(s)
Línea 4597: 1 vez(s)
Línea 4611: 1 vez(s)
Línea 4615: 1 vez(s)
Línea 4618: 1 vez(s)
Línea 4692: 1 vez(s)
Línea 4695: 1 vez(s)
Línea 4703: 1 vez(s)
Línea 4817: 1 vez(s)
Línea 4824: 1 vez(s)
